"","symbol","date","CARD.x","DISC.x","HACK.x","INSD.x","PHYS.x","PORT.x","STAT.x","UNKN.x","IS_EFFECTIVE","MATERIAL_WEAKNESS","SIG_DEFICIENCY","IC_OP_TYPE","AUDITOR_FKEY","AUDITOR_AGREES","COMBINED_IC_OP","IC_IS_EFFECTIVE","AUDIT_FEES","NON_AUDIT_FEES","BENEFITS_FEES","IT_FEES","TAX_FEES","AUDIT_RELATED_FEES","OTHER_FEES","CARD.y","DISC.y","HACK.y","INSD.y","PHYS.y","PORT.y","STAT.y","UNKN.y","BRCH"
"35","AAPL",2012,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"36","AAPL",2012,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"37","AAPL",2013,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,"1",8417200,958400,0,0,495600,462800,0,0,0,0,0,0,0,0,0,0
"38","AAPL",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"39","AAPL",2013,0,0,1,0,0,0,0,0,1,0,0,1,2,NA,0,"1",8417200,958400,0,0,495600,462800,0,0,0,0,0,0,0,0,0,0
"40","AAPL",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"41","AAPL",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"42","AAPL",2013,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,"1",8417200,958400,0,0,495600,462800,0,0,0,0,0,0,0,0,0,0
"43","AAPL",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"44","AAPL",2013,0,0,1,0,0,0,0,0,1,0,0,1,2,NA,0,"1",8417200,958400,0,0,495600,462800,0,0,0,0,0,0,0,0,0,0
"45","AAPL",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"46","AAPL",2013,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"47","AAPL",2014,0,0,1,0,0,0,0,0,1,0,0,1,2,1,0,"1",10286500,2003400,0,0,1689000,314400,0,0,0,0,0,0,0,0,0,0
"48","AAPL",2014,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"49","AAPL",2014,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"50","AAPL",2014,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,"1",10286500,2003400,0,0,1689000,314400,0,0,0,0,0,0,0,0,0,0
"51","AAPL",2014,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"52","AAPL",2014,0,0,1,0,0,0,0,0,1,0,0,1,2,1,0,"1",10286500,2003400,0,0,1689000,314400,0,0,0,0,0,0,0,0,0,0
"53","AAPL",2014,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"54","AAPL",2014,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"55","AAPL",2014,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,"1",10286500,2003400,0,0,1689000,314400,0,0,0,0,0,0,0,0,0,0
"56","AAPL",2014,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"57","ABM",2011,0,0,0,0,0,0,1,0,1,0,1,1,4,NA,1,"1",4976000,840919,0,0,407819,145500,287600,0,0,0,0,0,0,0,0,0
"58","ABM",2011,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
